"Date","Android","Windows","iOS","OS X","Unknown","Linux","Chrome OS","Samsung","KaiOS","Playstation","Other"
2022-03,41.56,31.15,16.85,6.3,1.63,0.97,1.15,0.24,0.08,0.03,0.03
2022-04,42.76,29.44,17.42,6.05,2.05,0.98,0.93,0.23,0.07,0.03,0.03
2022-05,43.23,29.2,17.67,5.79,1.93,0.95,0.86,0.24,0.07,0.03,0.03
2022-06,44.15,29,17.44,5.56,1.92,0.92,0.65,0.25,0.05,0.03,0.03
2022-07,44.71,27.83,17.88,5.37,2.29,1.02,0.56,0.25,0.03,0.03,0.03
2022-08,43.43,28.79,17.63,5.54,2.46,1.09,0.72,0.25,0.03,0.03,0.03
2022-09,42.96,29.48,17.37,5.84,2,1.11,0.95,0.22,0.03,0.03,0.03
2022-10,42.34,30.17,17.57,6.23,1.41,1.04,0.95,0.19,0.04,0.02,0.03
2022-11,43.43,29.3,17.22,6.08,1.64,1.09,0.97,0.2,0.04,0.02,0.02
2022-12,44.6,28.41,17.29,5.53,1.88,1.11,0.86,0.22,0.06,0.02,0.02
2023-01,42.99,29.22,17.21,6.04,2.15,1.15,0.93,0.2,0.06,0.02,0.02
2023-02,43.88,27.71,17.13,6.27,2.43,1.14,1.12,0.2,0.08,0.02,0.02
2023-03,41.48,28.32,17.31,7.02,3.07,1.17,1.32,0.21,0.07,0.02,0.03
