Year	Measure Names	Number of Internet users, billions	Percentage of Internet Users
2022	Number of Internet users, billions	5.30000	66
2021	Number of Internet users, billions	4.90000	63
2020	Number of Internet users, billions	4.70000	60
2019	Number of Internet users, billions	4.20000	54
2018	Number of Internet users, billions	3.70000	49
2017	Number of Internet users, billions	3.40000	46
2016	Number of Internet users, billions	3.20000	43
2015	Number of Internet users, billions	3.00000	41
2014	Number of Internet users, billions	2.70000	38
2013	Number of Internet users, billions	2.60000	36
2012	Number of Internet users, billions	2.40000	34
2011	Number of Internet users, billions	2.20000	31
2010	Number of Internet users, billions	2.00000	29
2009	Number of Internet users, billions	1.80000	26
2008	Number of Internet users, billions	1.60000	23
2007	Number of Internet users, billions	1.40000	21
2006	Number of Internet users, billions	1.10000	18
2005	Number of Internet users, billions	1.00000	16
2005	Percentage of Internet Users	1.00000	16
2006	Percentage of Internet Users	1.10000	18
2007	Percentage of Internet Users	1.40000	21
2008	Percentage of Internet Users	1.60000	23
2009	Percentage of Internet Users	1.80000	26
2010	Percentage of Internet Users	2.00000	29
2011	Percentage of Internet Users	2.20000	31
2012	Percentage of Internet Users	2.40000	34
2013	Percentage of Internet Users	2.60000	36
2014	Percentage of Internet Users	2.70000	38
2015	Percentage of Internet Users	3.00000	41
2016	Percentage of Internet Users	3.20000	43
2017	Percentage of Internet Users	3.40000	46
2018	Percentage of Internet Users	3.70000	49
2019	Percentage of Internet Users	4.20000	54
2020	Percentage of Internet Users	4.70000	60
2021	Percentage of Internet Users	4.90000	63
2022	Percentage of Internet Users	5.30000	66
